Feature,Importance
RV_Materials_USA_lag1,0.08194134972658405
precip_m_roll12m_COK,0.04027788568153087
temp_c_roll12m_CHL,0.03608970148745021
temp_c_roll12m_RWA,0.028467640564653993
precip_m_roll6m_COK,0.018554559937471925
affected_total_roll3m_KEN,0.016642375351822884
precip_m_roll12m_MEX,0.015377762986950823
precip_m_roll12m_IND,0.012858538606113013
temp_c_roll12m_THA,0.012728859093034102
temp_c_roll12m_LKA,0.012137748547593577
homeless_total_PRY,0.011073447644928892
homeless_total_MOZ,0.010541886667058707
temp_c_roll12m_MMR,0.008749701038272962
precip_m_roll6m_FSM,0.00864924592025282
temp_c_roll6m_NAM,0.008636322975847151
damage_storm_BEL,0.00848521870213101
precip_m_lag12m_CRI,0.00830164162235594
temp_c_roll12m_ARG,0.007088255482103374
temp_c_roll12m_USA,0.006947225114708146
precip_m_lag6m_CUB,0.006512740472265433
temp_c_roll12m_CYM,0.006302660042040855
precip_m_roll12m_TUV,0.005898555112215007
precip_m_roll12m_ERI,0.005268565411236516
temp_vol_3m_PRI,0.0051147530600752465
precip_m_lag3m_ROU,0.0049205040374205025
temp_c_roll6m_RWA,0.004873376625403941
affected_total_lag1m_CZE,0.004771106731142123
affected_total_lag1m_MEX,0.004721873915717327
deaths_total_THA,0.004439785867722836
precip_m_roll3m_TKL,0.004125888600009113
affected_total_roll12m_UGA,0.00399240095450324
storm_count_lag6m_COL,0.003987706494358038
temp_spike_MNG,0.003929015445901561
temp_c_lag12m_BLR,0.003911924418159982
temp_c_lag3m_CHL,0.003907013929348788
precip_m_roll6m_LAO,0.003900996399407505
precip_m_lag6m_AUT,0.003855645201916296
precip_m_lag6m_URY,0.0038441750809754104
deaths_total_roll6m_KEN,0.0038331503715090033
disaster_count_roll6m_ZAF,0.003732706797175294
temp_c_roll12m_LSO,0.0037324230854000116
temp_c_roll12m_CUB,0.0037119464988346874
precip_m_roll12m_WLF,0.0035826606818646738
temp_c_lag3m_ZAF,0.0035169157090481824
affected_total_lag3m_THA,0.0034565822049252887
precip_m_DEU,0.0033812138157547854
precip_m_roll3m_TCA,0.003369298052957584
precip_m_roll12m_TKL,0.003291381148360968
temp_c_roll12m_PAN,0.00325474193003668
temp_c_roll6m_MHL,0.0032525884348268237
