Feature,Importance
precip_m_roll12m_IND,0.25872063577934595
RV_Utilities_USA_lag1,0.02690049402061455
temp_c_lag3m_LBY,0.024687118311598547
affected_total_roll12m_CHL,0.024259417643429565
affected_total_roll12m_IND,0.02295514892746811
precip_m_lag3m_ARM,0.02188124269214237
temp_c_roll12m_REU,0.017303729298075714
affected_total_lag6m_ROU,0.015953902725302907
precip_m_lag1m_KAZ,0.015355169350288139
precip_m_lag3m_TKM,0.01513863460513293
precip_m_roll6m_KAZ,0.013777074776337616
storm_count_SDN,0.013759473622704861
precip_m_lag1m_GEO,0.012557055843831788
temp_c_roll12m_KEN,0.011502004012909562
temp_vol_3m_TLS,0.01030884685871026
precip_m_roll12m_MHL,0.009924102243499227
precip_m_roll6m_MHL,0.009085507810001534
precip_m_lag3m_URY,0.008728610409366483
affected_total_lag3m_VEN,0.008324022214830314
injured_total_ZAF,0.008192707962602484
deaths_total_lag12m_GBR,0.007960936648546827
affected_total_roll3m_CHL,0.007680894645789454
precip_m_roll6m_LAO,0.007319025892363126
precip_m_BTN,0.006773809389968081
precip_m_roll3m_MHL,0.006751472561507472
temp_c_lag6m_ERI,0.006680834517198486
temp_spike_SWE,0.006668292835366744
temp_c_roll12m_TZA,0.006663601164801855
temp_vol_3m_SWE,0.006568511147324819
temp_c_lag6m_NER,0.0065321661605499785
precip_vol_3m_KOR,0.006435339785469443
deaths_total_lag6m_RUS,0.0063126749336088975
temp_vol_3m_MLI,0.006212084998590273
precip_m_GUM,0.006077018548238869
precip_m_roll3m_DJI,0.006049471869953229
precip_m_lag12m_DEU,0.005948801562066461
precip_vol_3m_BTN,0.0059328137808668715
precip_m_roll12m_KAZ,0.005791722903400297
affected_total_lag3m_IND,0.005704980836345488
affected_total_lag6m_CHL,0.0054657425751072465
affected_total_roll6m_IND,0.005071898623403724
precip_m_roll3m_PNG,0.004499972747239318
temp_c_roll12m_GUF,0.004425916050046286
precip_m_roll6m_BEN,0.004418659429691511
precip_m_roll12m_COK,0.004386937306038428
precip_m_lag3m_BTN,0.004321723057687881
precip_m_lag6m_TKM,0.003998317890457105
precip_m_lag12m_SYC,0.003625565510251124
affected_total_lag6m_NIC,0.0034103533351709935
precip_m_roll3m_BGD,0.0032144125675451986
