Target,MAE,RMSE,DA,HitRate,Sharpe,Naive_MAE
RV_Utilities,0.0009793093779273336,0.001414852216822524,0.75,0.875,1.9021099984598469,0.0010872773786630681
RV_Technology,0.001817592160750989,0.002625518977232412,0.7,0.5833333333333334,1.0406719738834604,0.002062808318029132
RV_Materials,0.001730685131453615,0.001978683237246813,0.6833333333333333,0.8823529411764706,1.6952853042751137,0.0015752298945194746
RV_VIX,0.08317872295690704,0.11005542890888456,0.6666666666666666,1.0,1.8808265667864192,0.08654502080636318
RV_Consumer_Staples,0.0007200590210153459,0.0010203523787353512,0.65,0.7272727272727273,0.8577245855458039,0.0007812607327020483
RV_MS_EM,0.0032638913157209174,0.00423860121780319,0.65,0.8947368421052632,1.6681230192862406,0.0030471193379363725
RV_Industrials,0.0012197409895646305,0.0014446607025118575,0.6166666666666667,0.7222222222222222,1.3241386971463065,0.0013562227732521386
RV_SP500,0.0011011284099442984,0.0014587991567308353,0.6166666666666667,0.7777777777777778,1.1876102087633122,0.00113654229751184
RV_Financials,0.002071392402529103,0.0025679555498322485,0.6,0.7058823529411765,1.1357041834656596,0.0020559585922875446
RV_MS_Europe,0.0020902326138167115,0.003447508886091603,0.6,0.7692307692307693,1.2675096150267617,0.0028659404662907608
RV_Consumer_Discretionary,0.002030088499606326,0.003117080971893934,0.5833333333333334,0.875,0.7135211196106404,0.0018203894510016398
RV_Healthcare,0.0012256739024722118,0.0015805283212226877,0.5666666666666667,0.6875,0.9622049104438682,0.0008242333707547248
RV_Energy,0.002840887439759322,0.0052269110297071385,0.5166666666666667,0.6666666666666666,0.35725485640177845,0.00331065425792024
